delta_LeftHand_comp1,delta_LeftHand_comp2,delta_RightHand_comp1,delta_RightHand_comp2,delta_Jaw_comp1,delta_Jaw_comp2,delta_LeftHandClench_comp1,delta_LeftHandClench_comp2,delta_RightHandClench_comp1,delta_RightHandClench_comp2,theta_LeftHand_comp1,theta_LeftHand_comp2,theta_RightHand_comp1,theta_RightHand_comp2,theta_Jaw_comp1,theta_Jaw_comp2,theta_LeftHandClench_comp1,theta_LeftHandClench_comp2,theta_RightHandClench_comp1,theta_RightHandClench_comp2,alpha_LeftHand_comp1,alpha_LeftHand_comp2,alpha_RightHand_comp1,alpha_RightHand_comp2,alpha_Jaw_comp1,alpha_Jaw_comp2,alpha_LeftHandClench_comp1,alpha_LeftHandClench_comp2,alpha_RightHandClench_comp1,alpha_RightHandClench_comp2,beta_low_LeftHand_comp1,beta_low_LeftHand_comp2,beta_low_RightHand_comp1,beta_low_RightHand_comp2,beta_low_Jaw_comp1,beta_low_Jaw_comp2,beta_low_LeftHandClench_comp1,beta_low_LeftHandClench_comp2,beta_low_RightHandClench_comp1,beta_low_RightHandClench_comp2,beta_mid_LeftHand_comp1,beta_mid_LeftHand_comp2,beta_mid_RightHand_comp1,beta_mid_RightHand_comp2,beta_mid_Jaw_comp1,beta_mid_Jaw_comp2,beta_mid_LeftHandClench_comp1,beta_mid_LeftHandClench_comp2,beta_mid_RightHandClench_comp1,beta_mid_RightHandClench_comp2,beta_high_LeftHand_comp1,beta_high_LeftHand_comp2,beta_high_RightHand_comp1,beta_high_RightHand_comp2,beta_high_Jaw_comp1,beta_high_Jaw_comp2,beta_high_LeftHandClench_comp1,beta_high_LeftHandClench_comp2,beta_high_RightHandClench_comp1,beta_high_RightHandClench_comp2,gamma_LeftHand_comp1,gamma_LeftHand_comp2,gamma_RightHand_comp1,gamma_RightHand_comp2,gamma_Jaw_comp1,gamma_Jaw_comp2,gamma_LeftHandClench_comp1,gamma_LeftHandClench_comp2,gamma_RightHandClench_comp1,gamma_RightHandClench_comp2,activity
0.1423163017292246,-0.4163691862839326,2.3323611797697565,-0.20348341545494766,-1.4657024690133156,-1.7933293992434196,-1.715497661173889,0.08534818103853205,-0.10774428515142344,-3.441522158413227,0.08794452229736009,-1.03913525927794,2.251159070175043,-0.21736089384537544,-1.5184091896480525,-1.756846807736738,-2.0169177158349383,-0.1822356923096792,0.16551838639618718,-6.442116292589083,-0.2507440307098846,-1.8752104367362323,2.1697725017986884,-1.3627297168216317,-2.5345040498264493,-1.6799181466573527,-4.991950499844143,-0.8584909521546382,-0.45022489480753186,-2.063859267506945,-0.4890623324086931,-3.142785292340362,1.9455838550879165,-2.7897326690410322,-3.4276417445046214,-1.4502067501381213,-6.548040601304226,-2.1100908678638937,-1.279307289545288,-1.3769633025064625,-1.2428162372312717,-0.8131468506280931,2.0781448372960103,-4.892599982591633,-3.324604868745065,-2.2012592510884024,-3.3132334905766707,0.03988220152359662,-0.4292142972060892,-1.2226665462289394,-1.663524750339807,-2.8037750160046206,1.544013302767929,-4.155331040389298,-2.793458268996347,-1.5746394486546196,-3.9302549016503496,-1.9355401521811735,-1.5671071090509876,-1.224241140945299,-1.1985929256484156,-3.013334097642229,1.492486528824864,-7.905743883113523,-2.9263676808163996,-1.5698740222198886,-6.623145749515482,-3.9614096357521222,-3.2240285559005537,-6.450537913102271,5
0.21535511415971428,-0.5464233073460941,1.4272087582917976,0.11671652639615537,-4.2135164572064525,-2.2069789416648877,-0.28646065586709435,-2.766846611802482,-3.926501732183792,1.1926144568479682,0.060382142878933974,-1.1661613586417854,1.771392777582687,-0.1501152500299136,-2.1431205281716363,-2.6541218362729038,-1.15187483618325,-1.2384151130012038,-1.1253073843422308,-0.4659241480139106,-0.03777322677812783,-1.3633719467355454,2.1912708068100204,-1.5060507954934648,-2.2277128022799144,-1.637852309099905,-2.12609490408603,-1.938146251088302,-1.8975565955403295,-0.922915075857639,-1.0077401729675268,-2.1965324554405763,1.491801740294098,-2.48575708737936,-2.0242260562081458,-3.3049031336106087,-3.057378693595816,-2.030424215504555,-2.37777752011583,-1.8246266316201372,-1.610145110888847,-3.9444011057233253,1.4403365638453063,-2.2496207158702894,-3.7586388159806274,-1.2987143054728496,-3.042980592928097,-3.453701726449199,-1.8317715441352087,-1.2577056334488816,-2.017947738773306,-9.055098530578983,0.9971367032556059,-3.717487321039611,-4.058047821809169,-2.1972238445063854,-8.546633101702225,-12.314212790878267,-3.557949357704829,-3.046136388317547,-1.3955732126904268,-6.66706422374598,-0.3514857222906797,-2.6729357942291303,-4.920146384446207,-2.7629594841308065,-1.9143097624442897,-1.6907176203754541,-1.6507836914704492,-0.3250350436474061,5
-3.0315711202911917,-7.129283690069223,2.1631439736387,0.6731394755949759,-3.8099755541212392,-2.420653762725934,0.843528345823999,-0.03759918784365647,0.4782574424604689,1.97519832494336,-2.5250047510924385,-9.596391908745757,0.6105897074673103,-0.08708002195727171,-2.6438276891354753,-5.385705510923515,0.15884645910047884,-0.8876111811001233,-1.1605586565378956,1.2608517338321095,-8.390360812515288,-2.258851026062625,-0.20024987019205337,-4.5920212928107516,-1.7899234127040833,-6.046679114829564,-0.704055970603271,-2.8634435836777676,-1.5117983703180955,0.8450339384230542,-6.418367077651542,-2.8608112580789404,-1.3215556262573096,-7.436250710444305,-1.9937868121949687,-4.889534130025559,-1.3404827741676868,-3.1113990477123212,-1.8580942551594077,0.2233980381013563,-8.268423673734365,-8.267407229731822,-1.1575250819309144,-3.4862585451654144,-3.307568446179983,-3.180177781675636,-2.002322973540886,-1.3818743139332155,-1.4832205926923823,-0.2738504425137422,-6.695450677877177,-3.597486741543912,-0.9019210946511422,-7.800252059426666,-4.051456655576162,-2.978114790588855,-1.8557814727966995,-0.8521266558859901,-1.4984396287114685,-0.6220225125104207,-1.9668930758812084,-2.75442878296833,1.9349855545833776,-8.372854842599645,-3.8737563225978877,-4.780532492659699,-0.7906233931306226,0.008467434706188652,0.059050929151977655,0.7424789025198837,5
-3.842708165348924,-4.851753021617283,2.5049333135695497,0.39910317751543395,-3.2009532250056076,-2.6356101892945074,0.8627238537885563,0.38368142117492554,0.8094073140001669,1.9450964462995943,-2.9241339057196436,-4.589611926783978,1.71847077650752,-0.17316246372845248,-3.2243842402202127,-4.03470013087486,0.3769434732894085,-0.04935651219953317,-0.013081138951595126,1.537704023706258,-4.082749851954262,-7.541819429469491,0.5772656786666198,-1.7767585998085922,-2.4722032566635863,-7.161458773712193,-0.4265617393377078,-0.7718627550341983,-0.5254424599370372,0.7194969761606436,-3.413199426036512,-6.015348718782845,0.33620540272729926,-2.413924266915919,-2.692292589202763,-6.796332599703501,-0.6745246762690017,-0.6279027098164505,-0.11637383541669083,0.4972972932364188,-6.3060601940992145,-4.081038394605918,0.2752532100090831,-4.484972327904912,-2.336279261097133,-5.103640231171938,-1.3506720796023344,-0.5190146569157644,-0.08679869465201222,-0.008508907552939567,-6.4794820668791795,-2.5259155306667225,-0.11436064792874105,-3.607294499604723,-4.394038868868706,-4.094668467590744,-1.4478958393319739,-0.31624009808697195,-0.5285754516664732,-0.3266706318719579,-4.130677492920808,-4.491153963078691,-0.6635678442018749,-2.2286094008281263,-2.7755294461432487,-2.821783422903586,-2.614866408111541,-1.1358507913058378,-1.3490119772861284,-1.2840594866601887,5
-8.201241203389468,-4.2633618962916175,1.9704685430748754,0.9502783332825304,-1.8290950995061093,-1.5907061923013195,0.692627958175546,-1.0541689264606666,-0.7858618239676138,1.3912580483375667,-2.0992544607916055,-5.017811908891813,0.367074599551544,0.5057427064188134,-2.2869569862197188,-2.9854132077360025,0.11932882196849458,-1.5963655647016306,-1.590175640622265,0.77557154117525,-3.1339158784572403,-3.014801007577798,-0.21633301385226186,-0.6482166367743197,-3.0837244175348237,-7.392924059763415,-0.664227067335814,-0.8639534492164116,-0.963264265386523,-0.051558996664408135,-3.763768491959376,-3.2726902924866526,-0.6334187875498749,-1.3545070364240284,-2.8652417156564725,-6.600066808135947,-1.1028178358299585,-1.1692487759232029,-1.0375769681778173,-0.44100281957002757,-6.36159121531531,-2.112718138401699,-1.1709306199699898,-3.335704549648765,-4.490523484824979,-3.8770377318652485,-2.103898168490945,-0.6410269936661837,-1.2749566071667464,-1.5747438796289455,-4.1822086483936225,-2.3292330504474603,-1.2015261555832852,-7.141260964429583,-3.5019251667611853,-3.237541252927648,-2.449231849584124,-0.8563673739264699,-1.6458582949691476,-2.1111823026747403,-2.8712908920032363,-2.9904618647072123,-1.4195777129163782,-4.144124270388566,-3.6732468203931434,-3.1207785243069877,-3.433191625693802,-1.4010683806388808,-2.135315129822904,-3.413893414210796,5
-3.2607922415734327,-2.433963480333391,0.41466533753162566,-1.9771238955041848,-0.9989273692264166,-9.715265980019986,-0.5792336520669183,-5.1368977022936875,-7.327300510999617,0.012458211693381278,-2.9369494046024083,-2.9978828902716272,-3.6049947965335587,-0.9418561198432837,-1.206555280229239,-5.00515747699616,-0.9351023094625758,-2.8660755775450943,-2.798293186259463,-0.5950066941198608,-6.040779925627912,-4.157550137492799,-2.3062974633740896,-1.5284820731507622,-1.0270648783803153,-3.0286468822754538,-1.2633120945393963,-3.0937521252640834,-3.6991941488558657,-0.702546619325418,-3.012937060530488,-6.975033261134709,-4.009687221022574,-3.6588700679313297,-2.1867828991787253,-3.306090594557993,-4.135335653709377,-6.329918320989336,-2.700518917960994,-11.308666854871733,-4.363840268964501,-3.162346067124079,-3.654458225573785,-4.136832020840514,-5.964333026229498,-2.5767813269547366,-5.2626154863865935,-1.7878146165424922,-3.7525271104312066,-6.547444652184273,-5.620600396592955,-2.4253316103329765,-3.9501185882560943,-2.5315865645635958,-5.229905371435702,-3.5127938455487415,-3.149820786363167,-1.6139212614261864,-2.59998281619499,-6.296946276952245,-3.4206830053017945,-3.9102896599565646,-2.5561960825984325,-3.256101356622033,-3.5476159749520217,-3.023501747138004,-4.569928452248391,-2.1347705835166937,-2.856928244855841,-7.236319692407005,5
-4.5480098818841945,-7.591796691248624,0.44058356920234487,-0.6682909632125028,-0.8316570674328784,-2.1202592761948473,-0.506984117743203,-5.892592002875865,-5.543734390285809,0.043981507931279015,-1.4676688295961648,-5.1169735600466915,-6.003526348367239,0.26948397488412146,-1.5165284449814664,-3.851922143633755,-0.5085141758146493,-5.637561654577102,-4.477459808054968,-0.5837765915287837,-3.7813803964941863,-2.6524555336565956,-2.1435825935638917,-3.451914352488734,-0.7469431975161444,-3.6251237043969353,-1.5281728508330747,-2.1762532465276037,-3.7063074381451497,-0.7733319683611531,-3.692507398278292,-10.30469364068346,-2.4171537911867396,-5.789494263624146,-1.7955937264060478,-5.540906088574109,-2.734687631650829,-10.87034390390416,-4.654344626005427,-3.831332396241662,-5.067705644388279,-5.265224630224644,-10.490959987908305,-5.214481680730441,-3.447016809301751,-3.4280592887653687,-5.573622112960377,-4.958492135132261,-4.297682476561291,-4.109451139767404,-4.5402256183400285,-3.18199489290666,-2.942017648152514,-10.796869914466095,-5.029698930673528,-2.986202337079383,-4.021904211609498,-1.9801148581730241,-4.513590040212502,-7.208667727392191,-5.321698956394047,-3.7852718348694365,-3.784361213866087,-7.056535326266282,-5.695509358546715,-3.566330932068812,-4.267004015780302,-2.4242536738722897,-3.9392623494431507,-6.3828620901213675,5
-4.681059225602997,-2.782632924104686,-3.090370491455162,-0.45967579829377486,-1.2192328469648177,-3.2652718073625664,-0.943892468748344,-1.9096840132087312,-2.7796058692440444,-0.937118335617478,-2.1558781354694885,-3.114291872487359,-1.8535609250399325,-0.4233163160542754,-2.5080978526007622,-11.53588431497507,-0.9399335752568229,-2.211800524811318,-7.117103877400561,-0.9633849786606227,-2.755295463195663,-2.083556908891401,-6.939167583655011,-4.242167119275424,-1.5367902204967983,-4.614304727326361,-2.7380896469354203,-1.9804990346729872,-1.9951139792190908,-1.638024411930003,-7.958598390449856,-3.64271801512548,-3.0362168826436324,-2.6810930425651907,-2.4688216922883233,-5.22705298601897,-2.37344421639818,-2.8772804710918956,-4.534822571882321,-3.4640554155784447,-4.326051958904836,-3.1797251894645826,-5.175341165557704,-3.1570884220057502,-4.540260995451903,-2.2182463551789375,-7.3046408299482755,-2.5712420278436374,-5.20029693440868,-2.18957907307706,-4.35783812799135,-9.080892742474976,-5.298966485826717,-4.357932562789373,-4.27272637917903,-2.9364531225900707,-5.536180404517174,-4.409159933305896,-10.403082178677764,-4.577075807601158,-4.274326026058562,-4.989257928229943,-2.5153601802768213,-5.520110736503892,-3.925894326492536,-3.9304479489047934,-3.796160255997776,-2.696861088988044,-3.3062288627202725,-3.5910067641229273,5
-3.200110302327825,-1.2310217667171732,-1.5123073910630922,0.38497171328242824,-1.5154006919267087,-2.830265335901401,-0.7554834364714964,-0.39804229071343605,-1.4161860574395666,-0.7807732735033986,-4.813769689144813,-3.3318456722413763,-2.936225323769024,-3.1424867544526385,-1.2217168369660008,-8.336115015111245,-1.579777498952033,-3.025859744669635,-1.7226343393541519,-0.8247719484299105,-3.0898222441695897,-4.188232023140481,-3.6555364584448133,-7.481948867281031,-1.5654143768065572,-5.276009773642673,-2.4016215219339303,-3.6864176766003136,-1.5555406516466594,-1.2798584068185757,-9.599340084295234,-7.557533430403714,-4.579829155537083,-7.047688796753076,-1.685814145104622,-4.257553969384132,-2.8969312360371777,-11.345847356181284,-2.9105879518416913,-3.564744456054728,-9.147121772707756,-5.493902458360623,-4.938131346295737,-6.992530605830023,-3.7049653303058285,-4.17753583379917,-3.7015767278387584,-3.8250136651545676,-6.3442792483844705,-3.7809463795427907,-5.7878378082404245,-3.843799542950253,-5.693108021203393,-4.041001831719396,-2.9790087154903278,-6.816070121214425,-3.130639272734007,-4.497164859758038,-6.5877651687766345,-3.240203623382398,-6.0144803271172655,-6.778434202198469,-5.276166147113485,-5.33151050347691,-3.5145858690741925,-3.4953172140883635,-3.9902054543593297,-3.8062035248952673,-8.516570787063635,-4.030174321373128,5
-4.104729591611719,-4.728227993379941,0.31803404385457956,0.5939068106669927,-0.7995365532015485,-0.7765731122524072,-0.08657663778572476,-2.0487125282931773,-2.4728328130496045,0.45297992257885783,-3.694665739755486,-2.9355739065595294,-1.9912366693740104,-1.7305900283020523,-0.9933241443600428,-4.672686046797184,-0.9744892613933114,-3.187002119485175,-2.9645503609110158,-0.26814423442526203,-5.902319613935495,-2.0655219989597997,-3.2557578538428893,-3.070159616359615,-1.1664086997665084,-6.8511991539080315,-1.8827425373970497,-1.7125639211855064,-2.6112746501945754,-1.321671550602605,-9.496604794485453,-5.024293177786142,-3.9548319766512354,-3.2720627517246768,-2.202493551102645,-6.060281211076999,-2.751149298644309,-3.886050662613381,-2.540485123008391,-2.8331853749222007,-5.582551904936218,-2.368072485995172,-5.242870811581631,-6.798349052993946,-5.776309214040563,-2.978523596593851,-4.129745379024607,-1.2727348287303182,-2.596530765225885,-5.725887890105516,-4.275749551409954,-3.4085330468687554,-3.323247080336223,-1.2093292021649054,-3.9212361826258366,-5.900362461784171,-2.0972900499349807,-2.6129359551993985,-2.671122698063967,-2.528958905126362,-6.886339566261697,-3.873008418305526,-9.062270245354204,-8.886563196459047,-4.044967168546737,-2.9720446908169214,-3.9811802446881424,-2.433237722682878,-5.462750908702872,-6.268237991044892,5
