delta_LeftHand_comp1,delta_LeftHand_comp2,delta_RightHand_comp1,delta_RightHand_comp2,delta_Jaw_comp1,delta_Jaw_comp2,delta_LeftHandClench_comp1,delta_LeftHandClench_comp2,delta_RightHandClench_comp1,delta_RightHandClench_comp2,theta_LeftHand_comp1,theta_LeftHand_comp2,theta_RightHand_comp1,theta_RightHand_comp2,theta_Jaw_comp1,theta_Jaw_comp2,theta_LeftHandClench_comp1,theta_LeftHandClench_comp2,theta_RightHandClench_comp1,theta_RightHandClench_comp2,alpha_LeftHand_comp1,alpha_LeftHand_comp2,alpha_RightHand_comp1,alpha_RightHand_comp2,alpha_Jaw_comp1,alpha_Jaw_comp2,alpha_LeftHandClench_comp1,alpha_LeftHandClench_comp2,alpha_RightHandClench_comp1,alpha_RightHandClench_comp2,beta_low_LeftHand_comp1,beta_low_LeftHand_comp2,beta_low_RightHand_comp1,beta_low_RightHand_comp2,beta_low_Jaw_comp1,beta_low_Jaw_comp2,beta_low_LeftHandClench_comp1,beta_low_LeftHandClench_comp2,beta_low_RightHandClench_comp1,beta_low_RightHandClench_comp2,beta_mid_LeftHand_comp1,beta_mid_LeftHand_comp2,beta_mid_RightHand_comp1,beta_mid_RightHand_comp2,beta_mid_Jaw_comp1,beta_mid_Jaw_comp2,beta_mid_LeftHandClench_comp1,beta_mid_LeftHandClench_comp2,beta_mid_RightHandClench_comp1,beta_mid_RightHandClench_comp2,beta_high_LeftHand_comp1,beta_high_LeftHand_comp2,beta_high_RightHand_comp1,beta_high_RightHand_comp2,beta_high_Jaw_comp1,beta_high_Jaw_comp2,beta_high_LeftHandClench_comp1,beta_high_LeftHandClench_comp2,beta_high_RightHandClench_comp1,beta_high_RightHandClench_comp2,gamma_LeftHand_comp1,gamma_LeftHand_comp2,gamma_RightHand_comp1,gamma_RightHand_comp2,gamma_Jaw_comp1,gamma_Jaw_comp2,gamma_LeftHandClench_comp1,gamma_LeftHandClench_comp2,gamma_RightHandClench_comp1,gamma_RightHandClench_comp2,activity
0.5004797088843997,-0.43091671187518804,1.5835395506080492,-1.9089996600543249,-0.732632400146994,-4.189760163738409,-0.9451696557132592,0.3237972783511987,0.06749270729963594,-0.5616859146618302,0.31261838096895783,-1.8549740620016297,0.006023473139613594,-1.3121157496144342,-1.0659405435185245,-1.5758573177456434,-3.6337363522409034,-0.6130381320791862,-1.5621039423006637,-0.23808111575231783,-0.2530977068961302,-5.734105051746353,-2.740017840441767,-0.26523624077963087,-1.8039438497388784,-0.7916334121079344,-8.076520755570604,-1.579462679199115,-4.082129250697447,-0.8337319137877677,-0.7153113580481255,-4.236782906015153,-2.46812076424824,-0.4261687275612296,-2.4571570237125955,-1.1147490429928941,-5.977524001062807,-1.3031038816197085,-2.470670683610713,-1.122261122497706,-0.8849096241630997,-3.1084953111665,-2.5459432006152,0.18751120589007067,-2.2688253926315145,-0.7376177153022294,-2.974146008119528,-7.050437837480058,-2.762181455935766,-0.6555190942314731,-0.12858994792763528,-3.636026271764104,-3.430177591558271,-2.437693958940116,-3.0707403012933803,-1.4367131914506104,-3.7084975235799154,-1.3486629121910714,-9.495644764367748,-3.0533502494361815,0.32782072885815794,-6.2608734752477435,-3.3684853213085346,-4.671082487731812,-1.3494942094033977,-2.1689373378084262,-1.8371520209610586,-2.089465879946587,-5.660079721898226,-3.517481097785629,5
0.2648252592796593,-1.272223607999554,1.1936011461274707,-0.7091725318926445,-0.6671099813014989,-7.126336391688757,-0.8358310624839501,-0.8504270201786726,-0.7037828009985052,-0.7042291811654243,-0.09047613818748346,-2.5472962115672515,-0.05269433801538806,-1.5345819947531139,-1.069560815228812,-2.113126401530384,-3.83562414766123,-1.2902705938656516,-1.8633180371275775,-0.39221339614935624,-1.6493646411678216,-5.893400193219537,-2.818357962761884,-7.067126941484402,-1.9952031591060453,-4.211223671322902,-2.7238078530034344,-5.88756891623387,-5.928513634557905,-9.043929601944948,-2.1627440302826297,-4.860474198974459,-7.306069958473824,-5.6487966508407625,-2.604307647921476,-3.9608255654579745,-3.034993122435475,-7.851909326754967,-7.2756034558128455,-4.898031073637206,-2.5016777960838685,-3.0685418157571687,-3.7512429947196884,-3.9521074058261094,-1.6211497540143909,-4.2933898885450485,-2.7931763339677094,-5.0449503328071374,-7.20661161689645,-2.143200179187771,-4.515139216070034,-4.368622728364862,-2.979455149866491,-2.410442358227691,-4.130939360300744,-4.447801804190171,-1.9099443189866712,-5.275735455154978,-4.187777470429051,-0.8601999057407516,-1.0914098662015619,-7.793753573074642,-3.7365193291164074,-4.346687371806186,-4.222777445103999,-2.363138205523165,-2.2738691651706007,-2.3817719632325947,-9.097295972006332,-1.602990524401114,5
0.37981566522694993,-0.9708088649098777,1.161935554094641,-1.8280342357309818,-0.866562972278376,-2.5842005776350003,-0.8116117688290021,0.04750740525662488,-0.5373037061971454,-1.3298325160813258,-0.2037581820649461,-3.5070046490587017,-0.1283696093457148,-1.7625965317104826,-0.4634083646942498,-1.870160402870104,-1.7591426171013014,-1.2592439345906001,-3.0334123546345855,-4.409080586339246,-0.6250695543199222,-9.326744379192975,0.03619847590100127,-3.657527478397239,-1.2451847535047755,-5.513028315058822,-2.2194249758280775,-2.8398293020554797,-2.0026995562172174,-6.953172848466824,-1.629422201315732,-6.500576256549107,-1.6617565009154132,-1.7426553815417825,-1.930301389516259,-4.944782981263831,-1.7289041066550759,-4.147238585382021,-2.704304530289915,-2.8569227169011335,-2.750268779283042,-2.805600342943626,-3.4451807918462265,-2.6639159384684925,-2.0519951188655656,-9.740397364288944,-2.200619823011112,-2.752740093444129,-3.1306364112248954,-1.7993038556955074,-1.5589922690035758,-3.636580262243761,-8.498597260251156,0.2562440096933601,-3.208302902596385,-2.9555775094323673,-0.6500088910491907,-5.04754528483493,-10.087443468238146,0.14288944381990676,-0.5098564091847788,-5.566335897427067,-10.026835247670276,-0.20610880150753416,-4.442057733020211,-7.718675560320593,-0.8577527013965239,-2.2287046814448668,-5.13047057745374,-0.2731065565315304,5
0.5275768979703775,-1.5168823377278968,1.0240715162820326,-1.5015415884836483,-0.9906728625585318,-2.779431085783824,-0.8198459364074709,-0.37286273747418075,-0.882463306800706,-1.35926825898362,0.18648032108058535,-2.8904535434795684,-0.3151887657764986,-1.3575330577338987,-1.2546295964058973,-8.335540843164154,-1.1131476904837359,-1.581836075385508,-1.4757564292695817,-6.72033632659748,-0.5532416259794606,-2.6983275127306543,-1.6070362072130455,-0.16328715129118884,-2.127539069348321,-3.0989625671180976,-1.1919933808655532,-2.378218170277736,-1.5204855822645498,-4.396601698941969,-0.546673738562189,-2.270012442585123,-2.3354064541727397,-0.013082616122653828,-1.643060932091624,-3.8601883814467097,-1.2859816453990949,-2.7393448899452704,-2.5886368731188805,-7.122452875458583,-1.4545116112190928,-3.175334315568897,-1.3274171969033517,-0.7874839940354057,-1.9939287739767242,-3.4152681096553543,-1.488241301776021,-3.1187324559380265,-5.540336757499207,-0.8653058567557913,-1.4920183200753647,-6.173583597567055,-2.483491751300051,-0.013764433009832292,-4.505729191812265,-4.930664556537831,-1.1209593418172896,-4.0950449334536945,-2.0668410532404558,-0.8228288103384418,-0.3165343631282491,-2.911527510991503,-4.517365703833114,-0.8856338547036714,-3.3150462575700144,-10.457024547116694,-1.4759247328587262,-1.5480599329868305,-2.0778905657932247,-1.9768412063531753,5
-0.23466226408437532,-6.851511862729238,-1.075181109576466,-2.1292829506009068,-0.9203333294974532,-3.403058118009696,-1.2172021793508658,-3.014216263056297,-1.2306620055558897,-3.2455986483524444,-1.362790459739191,-3.5536215295860125,-3.221170267705998,-0.6328545738500209,-1.749524983041384,-5.583718296772215,-1.2202138680586585,-2.8088802353069773,-2.4832559774503666,-2.753235747932327,-1.8749532644466442,-3.2640036310978293,-2.884109671665135,0.028879023452167037,-4.077663454373369,-3.9717260140959247,-0.9976320265132467,-2.2083613528384936,-2.692417520097232,-0.8251743698717137,-2.218439509431301,-4.07071401491972,-3.3548905331124352,-0.7439802763778678,-2.9317469813136925,-9.563466624022661,-1.6947645922564605,-3.3185296079540696,-3.8124469424615914,-2.3996578342035937,-2.2498545184933105,-5.439979413131301,-3.3356012638970975,-0.9376257866937958,-3.36954152761251,-8.083888042867564,-1.6832167002235228,-4.13395026185319,-5.145873955596864,-1.1725106697628207,-2.9490398470564623,-3.92760316638503,-5.987754908109636,0.45413149663061936,-5.082641512272916,-2.7162495106668696,-1.0071463805087117,-3.753352685675256,-2.74817906039927,-0.9299771025723133,-1.142415455523238,-3.1260658491613693,-5.755790074291737,-0.3960330083250604,-3.874437906346432,-3.2565494907982133,-1.7407366231748496,-3.177428512592955,-3.916523601657674,-2.2622026268047235,5
-0.8679516971317854,-2.4029318888215383,-1.7925033711057996,0.39037377321076017,-1.1601548561817951,-2.9259274014726833,-0.1261810063183181,-4.893900142085824,-0.9135250241165993,-0.29911996687457604,-1.9750654152446614,-2.1555233082094016,-1.1382307961534504,-0.6096635853556814,-2.2041085410840346,-4.343910307496467,-1.2068124417154364,-1.5947049943381586,-2.1111604406258673,-2.070808140506471,-1.538444209993389,-8.853220056477342,-2.349096669439531,0.8926388793097779,-4.44284629962978,-1.6988074062591503,-0.5132859997783675,-6.774175865796023,-4.251412330714657,-0.2467496942307948,-2.7857702349675346,-4.05872570105434,-3.064349595839473,0.23386600569051366,-2.607754459214055,-2.9430573562242732,-1.1268996107047193,-2.5315095200989783,-4.291256262590531,-1.4215222325612051,-4.503508187063997,-3.4412656973149294,-4.3416952436760905,-0.9370136278701112,-3.690523987400092,-8.220080969085457,-2.075789215460586,-3.1874847468555076,-5.284750473085885,-3.0681873026201543,-1.6221480610829726,-3.438508289518493,-3.592568012928031,0.3181764040593193,-6.3392088284528985,-3.657913606155574,-1.4914542941676652,-3.8157116496185455,-2.917030956129484,-3.451633500674063,-0.47761145465859306,-1.9519771896472036,-2.9997713760652887,-1.617503169554156,-3.402929478048369,-7.033884015199296,-2.565527393321204,-1.5601407422329008,-2.6143467950515284,-4.512542807959586,5
-2.350305218775577,-6.524611775888785,-0.365274093343808,-0.8342149433526672,-1.1956494757911267,-3.731227594974655,-0.8560422766521575,-5.55021581521642,-2.1655438162824656,-1.5382972177530378,-2.1376650969808977,-0.640002480538586,-1.5719715721631629,-0.5245310719304274,-4.004213904849137,-5.838092137652946,-1.5980825182942568,-0.30426383814199254,-2.6186039906507665,-4.751532484363045,-4.128202648932978,-5.057382576384727,-5.110380219166318,-1.8545744477422101,-2.5361369985241002,-8.047882353355003,-1.9540239548359215,-6.223550212594882,-5.298502646966997,-1.616376524164134,-3.379236437234259,-4.115745938725348,-3.1990746821428537,-2.505940870738482,-1.6147982199950863,-4.653229157835616,-2.2149448213944676,-3.8210994151381077,-6.802714158564479,-4.4412397994182955,-2.559734077221729,-1.5784558542170664,-3.3930196224490143,0.21127118695028418,-3.6205779172128896,-3.1437612415729315,-1.2825773401519236,-1.5174616067419107,-1.6696090457320891,-2.714990684566687,-2.6322096388191745,-3.9563461427119013,-2.260002171811253,0.4718798354935139,-6.675941993441555,-2.9661426174566015,-1.6024238263196944,-9.494167047569851,-4.263586224177609,-3.720595998599014,-2.370497108569706,-5.504354020108758,-4.94452580361381,-1.6061028153229187,-5.671705407466713,-7.184341600223137,-3.0038900379242612,-5.328141817804448,-8.722507248645096,-4.260783480230815,5
-3.6928459441465433,-1.8593139545108348,0.2416220633017581,-1.8817951386921188,-0.6418341835429803,-1.9973787426057543,-0.8897134402412284,-2.066016103555514,-2.3316790267566545,-0.5572899076881731,-2.74726218540064,-3.5413632227920213,-2.0852340899086435,-1.0303279019434335,-1.9757153198098496,-2.7748064061937003,-1.6656033099356018,-2.424392656644419,-4.004910910331354,-1.8167483263362516,-6.580027086814554,-3.965221523433158,-4.867904278092852,-3.3126303182226158,-2.3940215070314155,-5.975105835382186,-2.031756381438175,-9.865942149295904,-5.775406006511052,-1.066809938130162,-1.7779869079145214,-2.8159904243697564,-2.7184837276293403,-1.038112675983076,-3.6459237132460443,-4.658634380620378,-1.917577393024044,-1.935142004514239,-3.546356584478022,-2.7914794444435653,-2.7104001523325763,-3.04583077492005,-4.391945663865888,-0.19285651390646835,-2.915024753294425,-3.436716364037279,-1.5349272217867216,-2.6514734772226185,-1.1808589342597846,-2.795756189037264,-2.828237559186537,-5.891742218628555,-1.7770454616848654,-0.017735193543580552,-8.290671794005405,-4.467320640036691,-1.9185361346812675,-6.889698748032999,-3.0298148243475156,-3.258701514071642,-1.9999491533175628,-5.95034961640427,-3.785163409786984,-1.054968234762553,-5.317989205408562,-4.851589771447351,-2.553080797794571,-5.5863908056719955,-4.1823238093213915,-3.384330802808139,5
-0.9895086358977854,-3.7562827375901193,-0.2535263724925339,-0.02706967447098648,-1.7864556080110332,-2.39351175410821,-0.5196333700042045,-2.269028003753636,-1.5113868520379667,-0.44549799808718205,-1.9670525396347471,-5.2855405312304,-2.3190023495791223,-1.3939130343799133,-3.623508919576429,-5.793669591699949,-1.8676348807886454,-3.932609789242649,-5.394525119921882,-1.5660933460026147,-6.791499142070447,-5.74724301378927,-4.840325502331022,-4.501550674681819,-3.0349283577530626,-4.124951919119323,-3.162802476713837,-6.521759495295054,-4.663457008141379,-5.648698992656273,-3.915645514695816,-8.672017284065301,-2.6360048618908607,-7.841411296489159,-4.212990975364353,-2.1767563223795485,-3.695072475405434,-3.315937231334796,-7.019819855656483,-8.027404893548768,-2.301152671408002,-4.335999200279904,-4.245092361845501,0.32259420073635614,-4.691600522900441,-2.2705080743597645,-1.375688163393851,-7.288733770206516,-3.4261644018774313,-1.5151774547327452,-2.4233722328642564,-1.9923511538902616,-5.136347497808836,0.5736629501225873,-4.283326601985622,-2.98809531414283,-1.0780278042784313,-1.559261983082199,-2.453096041499428,-0.7510340879170353,-2.6900351770113877,-5.169724009372347,-13.119989118730757,-0.934616851267884,-10.542375215411436,-3.811336560339682,-2.5217635887149057,-3.876425261041933,-2.0058457441213875,-2.8170625776287066,5
-0.903850541820263,-3.2852375573678922,-0.05999478137976598,-2.4785576606870943,-1.2979489429153828,-7.542629243256128,-1.237282126283243,-1.7416631719861408,-2.1314167274913642,-2.1149439046010636,-2.9745021235321714,-0.7061145664390205,-0.2751045389778858,-1.6782058542226197,-5.278621494931237,-3.704333190357636,-1.5256159808869867,0.10648773483318426,-2.604496266961687,-1.3183466596541071,-2.8130985846854073,-3.3490912677802225,-6.101667628662317,-8.774595273751858,-11.364115697432904,-2.261562289159903,-4.5736366485104805,-1.704055693241913,-3.2656772999150783,-3.4872578167852084,-4.776740459891284,-3.448755023135862,-5.359188211284981,-3.7870539334676794,-9.126575991627913,-2.808438890326825,-5.791612066314926,-3.5434652904615858,-3.4733576120248824,-2.2473281666896106,-2.318920145786774,-4.443662156266494,-3.0829093974964774,0.08538323214305676,-2.6707119202327427,-1.4257476045930126,-1.660538516518235,-1.7348861202588148,-3.705410306803571,-1.4924608153096797,-2.0042514164652343,-3.3393299171534867,-5.680404634541708,0.911468658779279,-6.220598174861091,-1.5239798038669705,-0.8728310263570991,-4.229211721447373,-2.7219259029488927,-0.5334546613878041,-1.5396474668721003,-3.4825844291954398,-6.438047433466631,-0.8976823677581496,-6.982603951770692,-4.024740289197433,-2.680189311243104,-3.2857753043338116,-2.5610611743956353,-6.5332470446251465,5
