0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,cue,activity
31.387,45.647,53.908,51.004,49.233,33.71,40.579,40.023,24.386,36.665,42.235,41.231,37.511,23.956,28.783,31.171,19.352,28.516,31.839,34.133,27.705,16.97,21.439,26.149,13.423,25.616,28.802,29.261,23.292,10.27,17.34,17.454,13.052,24.031,25.954,27.019,20.781,11.104,14.684,14.946,16.942,27.272,29.111,30.055,23.678,15.368,18.013,17.639,30.415,41.365,42.702,44.208,36.923,28.29,31.723,30.916,43.186,33.242,25.763,20.682,18.946,22.26,35.818,56.854,43.62,34.298,28.318,24.886,27.268,43.113,1,5
34.789,58.501,63.716,56.589,61.914,43.013,44.242,46.87,26.047,46.52,50.039,44.192,49.408,34.163,34.485,38.646,20.79,40.194,43.225,38.919,41.626,25.737,27.455,33.246,18.676,36.509,40.787,36.489,37.573,24.178,25.872,27.651,18.477,33.89,39.017,36.523,36.892,21.525,22.981,24.386,24.457,37.811,42.261,39.404,39.603,24.95,26.817,27.964,37.634,48.671,50.478,51.706,45.743,36.193,39.784,38.934,51.204,40.438,33.899,30.967,29.211,32.908,43.643,68.925,54.908,47.309,42.41,40.339,43.94,53.778,1,5
30.186,63.899,61.806,52.608,71.026,52.768,45.067,50.949,27.584,53.719,53.117,43.073,58.392,46.903,35.499,48.145,21.914,47.642,46.015,37.621,49.883,34.584,32.756,40.637,19.749,44.047,45.014,36.351,47.495,35.426,26.826,32.118,16.972,39.967,40.681,35.119,46.193,32.514,22.72,31.193,20.044,34.774,38.845,33.48,41.801,25.668,24.458,27.883,21.389,35.271,39.536,35.453,38.394,24.812,25.878,25.879,53.539,45.804,38.881,35.878,33.17,30.869,30.827,74.843,63.609,54.674,51.433,48.107,43.824,41.921,0,5
27.542,44.257,49.605,37.056,54.482,39.054,38.072,36.82,20.182,27.815,28.596,26.496,30.108,26.608,28.908,27.119,13.58,20.481,21.126,25.285,26.348,19.36,27.634,23.868,11.132,15.807,17.591,18.345,19.792,14.628,23.258,12.363,7.474,13.674,13.772,19.026,19.14,11.655,20.894,13.639,11.358,15.144,16.65,18.626,17.606,12.07,17.53,12.519,15.986,25.858,27.282,29.08,22.826,15.515,18.898,17.407,40.861,26.979,22.21,16.614,14.909,15.188,21.607,56.02,35.497,29.903,23.19,21.581,19.66,25.837,0,5
28.542,28.727,33.251,31.275,33.635,28.744,33.175,24.757,16.915,22.341,23.374,23.227,23.888,20.062,24.843,22.08,12.652,17.066,20.087,21.184,20.995,16.682,22.54,19.842,10.821,14.147,16.77,18.901,18.457,15.674,22.7,14.084,5.191,12.169,12.318,19.165,15.942,8.578,19.644,11.568,9.655,14.98,16.647,18.931,16.327,9.865,16.255,9.44,17.231,27.887,29.369,31.264,24.158,16.31,20.255,18.749,30.263,22.091,18.881,16.444,13.072,14.012,23.153,37.6,27.34,24.537,21.702,19.107,18.612,27.479,0,5
16.561,24.32,29.733,28.408,30.198,25.169,29.865,24.687,10.611,18.581,21.839,21.451,22.679,19.493,22.305,18.33,11.437,15.86,19.926,20.379,20.056,17.38,19.081,17.204,10.426,13.583,15.758,17.383,17.347,12.316,21.545,12.741,7.908,11.227,13.417,18.157,16.138,10.105,21.619,12.289,9.268,13.181,14.153,16.732,15.717,10.537,16.391,9.783,15.887,25.31,26.689,28.417,21.952,15.204,18.362,17.088,26.118,19.411,17.665,15.137,13.858,13.22,21.113,34.28,24.751,23.184,19.573,19.556,17.413,24.741,0,5
11.109,26.31,22.721,23.393,27.816,20.799,25.486,21.428,11.219,15.957,16.598,16.606,19.058,16.305,19.434,14.9,10.7,12.186,10.813,15.033,16.054,14.377,15.772,15.391,8.741,8.511,6.996,9.953,10.995,10.692,15.472,8.32,5.532,5.347,6.42,9.677,11.94,7.132,13.889,6.976,6.656,9.065,9.259,9.546,13.325,9.33,11.087,6.939,11.891,20.238,21.158,22.289,17.503,10.689,13.532,12.538,22.383,16.26,13.791,9.96,8.364,9.401,16.23,30.35,20.755,18.21,13.584,12.19,11.67,18.55,0,5
10.912,22.581,20.033,20.532,20.537,16.533,17.155,19.214,7.83,12.842,13.402,10.265,10.551,9.738,11.988,12.966,7.447,8.296,8.967,11.919,9.117,7.247,7.217,7.642,4.201,4.704,4.753,6.116,4.816,5.592,6.147,2.827,1.322,2.183,2.569,4.6,2.879,1.946,4.181,2.755,6.373,6.332,7.471,5.861,7.394,6.286,6.132,5.635,7.628,9.085,8.607,9.349,7.605,6.721,6.253,6.093,18.437,11.198,8.481,4.894,2.804,6.436,7.667,24.406,15.352,11.441,7.024,4.345,5.965,6.096,0,5
13.812,12.929,15.755,14.746,12.603,12.758,12.068,13.747,8.896,9.715,12.989,9.214,9.604,8.548,9.828,11.314,6.854,9.726,9.019,10.169,8.754,8.401,8.102,8.04,4.442,5.835,6.176,7.261,3.967,7.743,7.162,2.073,6.308,3.598,5.827,3.891,4.553,4.156,3.92,2.468,7.667,6.052,4.501,6.192,6.367,6.534,5.88,4.222,5.546,6.969,7.296,8.014,5.726,5.099,5.032,4.559,13.552,10.014,8.633,5.582,4.34,5.927,6.03,17.861,13.622,9.296,6.344,5.813,6.737,4.622,0,5
12.34,11.965,16.509,12.529,10.009,12.953,9.889,14.945,9.504,12.061,11.596,12.013,11.615,10.248,13.399,15.176,12.018,10.03,8.777,11.949,9.708,9.06,9.147,9.262,2.644,3.95,4.087,5.876,4.954,6.633,5.537,1.512,3.057,2.401,2.516,3.284,2.622,3.796,1.787,-0.179,6.892,4.466,4.515,5.605,4.715,5.892,4.97,4.332,4.435,6.29,6.517,7.009,4.513,4.692,3.839,2.841,12.642,11.952,9.994,4.399,2.411,5.174,5.017,17.536,14.692,10.202,5.697,3.925,5.936,3.701,0,5
