0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,cue,activity
26.612,28.618,31.71,42.811,43.706,31.267,39.222,34.431,20.813,21.976,23.384,30.807,29.496,22.771,27.398,23.534,14.376,13.748,16.288,21.846,19.168,16.265,16.006,15.605,14.852,12.079,14.987,19.008,17.857,14.61,13.844,13.087,9.573,8.64,12.168,15.702,13.07,10.201,11.424,8.968,12.083,12.015,12.347,13.77,13.933,12.201,11.926,11.442,16.96,16.105,15.645,20.167,17.546,16.12,17.889,15.337,34.797,25.022,16.663,15.041,11.218,12.465,16.971,44.058,30.29,20.411,17.965,13.948,13.043,15.946,1,2
36.642,35.608,38.039,39.472,41.892,36.661,36.806,36.789,28.757,28.152,29.237,30.686,32.457,28.801,28.701,29.525,25.438,24.071,26.127,30.091,29.716,26.121,26.064,26.174,24.602,20.277,23.403,26.323,24.49,23.736,24.329,22.614,19.459,17.8,19.169,21.954,18.725,20.79,20.956,16.882,21.359,21.374,21.177,21.81,23.129,22.839,21.879,20.036,20.401,20.755,19.957,21.302,23.339,21.96,21.521,19.799,37.739,29.54,26.725,23.722,19.467,21.7,21.129,43.11,32.011,29.649,26.226,20.057,20.769,20.371,1,2
43.371,42.848,43.304,43.618,43.418,43.192,43.57,42.826,34.969,34.245,34.529,36.981,37.264,34.787,36.02,34.113,31.817,30.877,31.356,34.637,35.364,31.835,34.068,30.148,28.637,26.791,27.477,32.475,31.404,28.665,31.161,25.797,26.012,25.473,24.995,28.61,28.055,26.252,28.234,22.321,29.662,29.958,28.689,32.354,32.746,30.495,32.277,26.16,36.613,38.582,35.555,38.09,39.943,38.456,40.133,31.851,43.268,35.364,32.513,29.051,26.244,30.293,37.403,44.425,36.445,33.996,31.302,26.379,30.891,39.098,0,2
47.393,46.396,46.116,56.538,50.24,36.197,45.242,34.655,39.983,34.711,34.723,44.947,39.242,29.198,35.552,26.809,30.129,30.13,29.912,36.287,31.64,26.452,29.41,23.585,25.118,26.958,26.384,33.36,27.75,25.403,26.678,21.215,20.132,20.306,19.841,26.608,20.231,17.846,20.415,16.777,21.022,20.739,21.006,25.713,22.311,20.448,22.657,19.594,23.789,23.613,23.114,27.274,24.312,23.134,25.359,20.558,45.347,35.646,29.693,26.608,20.269,21.686,23.894,57.181,45.097,35.94,31.351,23.186,23.879,25.323,0,2
46.403,47.989,46.933,59.359,46.214,34.358,43.453,35.908,35.12,29.793,26.844,43.591,35.845,25.808,33.062,27.089,25.698,23.45,22.783,33.696,25.084,18.64,22.976,18.159,20.632,20.384,19.867,27.006,20.924,19.499,20.767,17.134,15.014,12.299,13.103,19.931,15.266,12.215,14.313,12.001,15.865,14.27,14.766,17.944,15.5,14.342,14.947,13.161,14.7,14.163,13.725,17.844,13.861,13.759,14.371,13.582,45.077,32.144,23.811,20.776,14.268,15.099,14.5,58.792,41.95,30.595,24.998,18.018,16.858,14.481,0,2
28.103,27.274,25.242,40.502,37.107,23.358,32.695,26.728,17.767,12.813,14.376,26.012,21.539,14.349,20.306,16.014,13.579,10.741,11.315,20.155,12.772,12.523,13.983,14.342,11.728,12.486,11.902,16.312,11.328,13.615,14.104,14.561,10.553,9.34,9.288,10.06,8.705,9.962,8.312,7.076,13.318,14.195,12.817,13.818,13.348,14.74,13.701,13.111,13.399,14.772,13.277,13.987,13.216,13.602,12.726,12.89,30.126,17.897,13.676,13.255,9.162,13.631,13.484,38.423,22.681,17.385,14.79,9.505,10.715,9.643,0,2
28.071,22.059,21.78,28.451,28.412,19.156,21.435,21.395,19.521,15.746,18.052,29.22,23.426,14.867,20.752,16.778,15.693,13.138,15.204,26.233,16.239,13.173,13.073,14.079,13.539,11.364,10.737,16.71,10.847,13.275,12.205,13.99,9.227,9.679,8.529,12.111,7.904,9.049,8.791,10.329,11.148,12.745,11.531,13.739,11.215,12.055,11.1,12.038,12.973,14.632,13.191,14.323,12.519,13.732,12.41,12.602,23.845,19.795,15.854,12.833,9.452,11.947,13.298,28.504,24.187,20.391,15.807,9.61,10.495,11.278,0,2
20.957,19.147,17.99,22.695,21.984,13.567,15.927,13.455,14.227,13.176,10.159,20.006,13.367,11.032,12.84,11.033,9.091,10.949,9.174,19.457,11.716,11.556,7.533,8.615,7.577,10.177,8.517,13.835,10.438,10.969,8.379,9.14,8.48,8.583,7.867,9.924,7.694,8.983,7.722,9.117,12.365,13.856,12.381,12.751,11.658,12.432,11.71,11.977,12.507,14.563,13.039,12.931,11.994,12.968,12.219,12.382,18.215,13.23,11.011,9.879,8.546,12.391,12.825,24.053,16.962,14.141,10.29,6.595,9.608,10.305,0,2
30.538,26.744,26.278,22.699,23.483,22.163,20.972,22.169,16.826,14.491,13.198,15.328,10.31,13.558,12.112,11.462,14.055,15.637,14.427,17.178,11.396,13.36,11.165,11.031,12.551,14.521,13.304,12.976,10.298,11.313,7.398,8.459,8.282,9.142,8.776,8.917,6.911,7.689,8.447,7.918,10.303,12.464,11.552,10.653,9.502,11.547,11.128,9.83,11.382,13.636,12.672,12.733,11.65,12.248,11.94,11.783,24.381,13.411,13.531,11.352,8.26,10.872,12.256,26.949,16.54,16.057,12.668,7.668,8.876,9.724,0,2
23.777,20.696,20.308,19.93,14.951,15.512,14.852,17.172,9.109,7.798,9.463,13.243,10.359,9.523,9.837,9.07,9.136,8.155,7.69,14.123,6.218,7.703,6.288,7.297,5.915,6.891,7.087,9.015,6.931,10.212,6.047,7.487,6.152,6.569,7.151,7.584,5.302,8.805,7.372,6.55,8.478,9.896,8.677,9.18,7.406,9.123,8.937,8.432,10.598,13.469,11.628,11.929,9.946,10.205,10.561,10.651,18.4,9.8,8.327,7.448,6.936,8.766,11.123,22.686,12.839,11.044,8.651,5.345,7.183,9.071,0,2
