0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,cue,activity
25.573,18.478,21.533,22.163,23.004,28.092,32.472,17.106,17.525,14.392,14.796,16.049,15.966,19.543,23.55,9.51,12.769,13.483,14.083,13.214,15.269,16.436,19.57,8.611,11.497,12.877,14.314,9.572,13.789,14.424,17.192,8.429,7.814,9.049,8.724,3.464,11.709,10.328,12.639,4.404,12.219,14.577,14.823,8.901,16.045,15.25,17.648,8.628,17.011,19.478,19.571,10.871,19.353,19.471,21.425,10.12,23.553,16.417,14.179,12.762,8.516,13.511,17.162,30.673,21.247,16.708,13.577,10.129,14.788,18.593,1,2
29.909,27.855,31.446,25.183,35.146,37.227,44.364,22.924,23.422,23.766,25.357,18.437,28.148,28.963,33.94,16.967,17.622,19.872,22.292,14.689,23.325,24.097,27.791,13.476,15.851,16.816,19.923,10.621,20.565,20.25,24.181,9.867,14.984,17.009,18.385,9.828,18.486,18.831,21.426,8.963,18.02,19.389,20.526,12.979,19.293,20.459,22.949,11.175,19.828,21.661,21.915,13.054,20.546,21.608,23.727,11.305,31.757,24.875,20.396,17.259,15.989,18.099,19.206,41.25,32.087,25.255,20.973,17.231,20.36,21.117,1,2
40.1,44.442,48.967,34.946,57.477,53.188,60.298,33.883,34.474,38.622,42.041,29.765,45.656,44.354,49.36,28.272,28.563,32.22,34.982,23.796,36.111,36.258,40.182,21.813,24.181,27.584,30.098,18.115,30.275,30.887,34.62,16.276,18.824,22.436,24.583,13.037,24.59,25.121,28.61,11.34,17.584,20.793,22.636,13.423,22.047,22.603,25.862,11.666,17.898,20.16,20.819,12.141,20.983,20.575,23.021,10.897,46.662,39.068,31.741,26.505,21.068,19.577,18.312,60.685,49.144,38.682,31.943,24.93,22.308,20.168,0,2
36.17,38.516,43.941,31.306,50.374,48.173,55.19,30.073,30.036,32.776,37.37,25.516,40.235,38.507,43.68,23.89,20.295,22.899,26.791,16.616,26.775,26.79,31.341,14.399,18.035,20.438,24.401,12.302,22.962,24.042,28.213,11.456,14.514,16.544,19.699,9.817,19.543,18.582,23.005,9.19,12.96,14.599,17.124,9.608,16.875,15.953,19.752,7.824,12.563,12.967,14.767,9.63,22.218,14.014,16.614,9.32,41.718,34.001,23.238,20.231,16.362,14.337,14.012,53.795,42.158,27.738,24.108,18.647,16.109,15.766,0,2
30.402,32.733,39.089,26.241,40.21,42.886,49.706,25.573,23.434,25.509,30.877,20.248,31.085,31.361,36.817,17.49,16.372,18.704,22.374,14.549,20.182,22.62,26.967,10.572,11.941,13.58,17.422,7.487,17.466,16.367,20.498,7.237,10.234,11.565,14.621,7.686,15.562,13.601,17.083,7.03,10.566,9.873,11.703,6.472,15.188,10.94,13.557,6.495,9.923,9.807,10.4,9.173,19.945,9.796,11.093,9.099,35.855,27.103,19.042,14.0,12.173,10.599,11.155,45.753,33.82,23.228,17.671,13.816,12.482,11.636,0,2
16.747,17.533,22.488,16.383,17.438,30.125,33.691,14.238,11.779,10.956,9.858,12.181,10.4,15.256,16.77,8.056,9.129,8.684,5.535,9.859,11.036,9.419,6.941,6.904,4.326,4.351,3.004,4.201,10.903,2.37,2.719,2.669,2.734,2.355,2.974,4.358,10.672,3.307,1.842,1.685,9.14,7.606,6.822,8.005,11.481,7.108,5.926,6.402,9.213,8.035,7.841,7.906,13.528,8.121,8.123,8.177,21.081,11.907,8.438,4.318,3.741,7.811,8.868,28.417,16.161,12.597,7.073,5.002,8.697,8.045,0,2
17.056,17.996,18.469,18.899,8.012,28.538,18.594,14.622,11.079,11.566,10.144,11.395,7.356,14.585,16.688,9.583,8.918,9.244,7.105,7.552,8.203,8.526,7.1,6.507,4.298,5.646,5.069,4.143,10.173,4.392,5.116,4.901,2.511,3.155,3.546,3.806,8.942,4.615,3.277,4.679,9.115,8.209,7.575,9.014,12.44,7.742,6.235,7.278,7.258,7.291,7.387,7.118,13.84,8.299,8.511,8.097,17.773,11.55,7.894,5.467,4.316,8.451,8.475,22.99,15.271,11.302,7.366,6.018,9.486,8.053,0,2
13.955,14.399,16.218,15.242,8.55,27.37,21.417,10.554,14.157,12.325,12.38,14.387,8.452,13.388,15.772,7.813,9.969,8.839,8.161,12.902,10.615,6.918,8.438,6.423,5.318,4.495,4.441,4.961,8.984,6.167,7.192,3.037,5.669,4.867,5.373,5.526,11.658,5.513,5.218,5.263,9.514,7.32,7.418,7.761,13.611,8.207,7.534,7.079,6.098,5.116,5.854,5.977,14.028,6.565,6.045,6.048,15.963,12.334,9.033,5.574,6.136,8.556,6.966,22.281,15.835,10.924,7.311,5.166,8.919,7.281,0,2
16.152,13.748,12.313,12.488,10.227,24.634,24.082,12.989,11.422,11.082,10.696,11.766,8.498,15.307,15.399,9.187,8.072,6.091,6.299,9.217,10.522,7.891,8.74,6.578,3.009,2.924,3.007,3.439,12.267,7.12,6.177,3.328,3.003,5.124,4.414,3.498,12.518,4.742,4.246,4.554,10.338,9.495,7.301,6.999,14.064,7.496,7.822,7.291,9.184,7.781,7.737,7.251,14.761,7.479,8.013,6.704,15.829,11.67,7.926,5.159,5.263,8.851,8.614,23.262,15.774,10.347,7.504,6.228,9.538,8.925,0,2
11.336,12.099,12.9,11.303,10.711,26.594,21.716,9.554,10.561,9.364,10.205,11.598,10.363,11.945,16.161,7.452,8.542,8.256,6.731,11.653,10.928,6.881,9.153,7.499,4.607,4.011,3.121,4.022,10.606,7.126,7.699,5.084,3.38,4.392,3.077,2.448,10.192,4.352,4.851,3.853,9.424,7.721,6.779,6.88,13.139,8.01,7.037,7.611,8.442,7.085,6.737,7.076,14.216,7.816,7.761,7.527,14.527,10.956,8.705,5.785,4.568,8.325,8.333,21.52,14.989,12.034,7.607,5.489,9.356,8.954,0,2
12.058,13.314,11.938,10.626,9.264,25.607,24.404,10.069,11.925,9.519,9.764,12.269,9.583,11.311,16.328,4.578,6.733,4.407,4.169,11.746,10.38,4.94,11.108,6.924,5.72,4.925,5.525,6.371,9.415,3.076,7.023,3.437,5.315,4.286,2.518,3.538,10.59,4.187,2.723,3.161,10.939,9.692,7.972,9.009,12.809,7.859,7.093,9.196,8.76,7.5,7.154,7.711,12.936,7.747,7.548,7.256,14.66,10.659,7.551,5.686,4.54,9.321,8.327,21.407,15.099,11.499,7.453,5.578,9.556,8.065,2,0
11.384,9.652,10.153,12.392,10.705,24.837,22.082,13.672,12.652,10.788,11.351,12.714,9.454,12.32,15.22,6.166,4.191,5.932,5.274,10.908,9.881,7.62,8.165,5.114,5.193,2.875,3.633,5.464,9.294,1.853,4.656,-0.462,5.118,5.295,2.409,4.319,9.083,4.736,1.47,2.478,10.008,8.417,7.884,8.648,13.45,7.058,7.208,8.007,9.049,7.691,7.982,7.217,13.528,8.229,8.951,7.637,14.359,11.333,7.136,4.063,4.364,8.835,8.785,21.043,14.729,10.276,6.672,5.279,9.472,7.89,2,0
12.437,9.202,8.804,12.404,11.311,25.659,22.114,14.835,12.766,11.758,11.681,12.343,7.511,15.128,16.431,8.384,7.25,8.263,6.568,11.265,9.427,8.403,7.856,6.072,5.006,2.383,1.509,4.644,10.373,2.371,2.457,2.011,4.492,2.783,3.044,3.802,6.133,2.922,0.781,-1.462,8.937,6.918,6.714,8.26,12.433,5.091,5.595,5.484,7.943,6.532,6.279,7.427,12.266,6.182,6.966,5.959,14.596,12.0,8.138,3.844,2.812,7.429,7.444,21.144,15.917,11.201,6.305,4.268,8.58,7.41,2,0
15.579,14.8,16.773,14.662,10.156,26.28,23.481,13.846,13.3,12.066,11.318,17.054,11.886,15.088,15.049,8.762,9.362,8.439,7.984,16.339,7.587,7.897,6.259,6.158,1.81,3.814,3.5,11.031,9.495,3.752,3.102,3.891,3.651,2.836,5.069,8.868,10.298,3.836,4.225,3.338,9.512,7.911,7.179,11.911,12.858,6.631,6.602,7.299,8.348,7.558,7.524,10.797,12.523,7.833,7.377,6.507,16.947,13.065,8.753,5.049,5.265,8.738,8.559,23.414,15.886,11.803,8.2,6.995,10.611,9.291,2,0
24.315,18.35,19.124,19.12,13.735,25.739,23.748,15.646,15.394,11.217,9.675,11.763,9.484,13.92,13.758,8.536,7.914,8.479,6.673,12.465,10.506,8.553,6.859,4.722,4.403,4.914,5.591,4.17,8.28,4.33,3.249,4.42,4.241,3.852,5.623,3.67,10.724,5.571,5.3,5.109,9.962,7.066,7.248,6.315,13.364,8.394,8.515,7.258,8.81,6.286,7.719,5.58,12.96,7.605,8.443,5.958,19.972,11.719,8.271,4.92,5.511,8.515,7.92,25.611,15.882,11.388,6.85,6.339,9.876,8.561,2,0
