0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,cue,activity
22.386,19.616,43.531,24.77,46.137,22.905,22.12,23.586,13.804,15.063,34.687,19.799,34.021,17.18,18.595,19.249,10.865,14.866,27.47,16.989,25.755,15.071,18.956,17.443,7.114,10.93,20.769,11.258,19.573,10.806,14.076,12.204,6.956,10.577,20.695,13.53,18.127,11.095,15.561,14.599,10.603,14.562,24.058,17.371,21.964,12.452,15.957,14.276,14.13,20.397,29.915,22.755,27.444,17.49,18.915,19.462,28.132,21.55,18.427,13.341,13.892,16.406,21.314,40.348,30.028,23.064,16.763,17.118,21.229,25.793,1,5
24.671,19.4,42.267,25.805,44.219,23.38,22.192,25.408,12.727,13.076,30.93,17.446,30.912,15.745,16.568,17.959,10.23,11.641,16.851,12.206,16.629,11.899,11.977,12.757,8.821,10.483,12.957,9.799,12.16,10.2,10.529,10.522,7.486,12.003,11.551,8.967,10.772,11.532,10.394,11.0,10.501,13.388,10.655,12.208,11.958,11.34,12.563,10.949,10.175,15.357,15.535,13.649,13.855,11.459,13.96,11.563,28.418,19.42,13.024,10.684,10.463,11.695,13.194,40.043,26.797,15.876,12.466,11.762,13.314,15.325,1,5
25.69,24.213,44.481,28.558,46.418,26.513,27.195,27.125,17.257,21.987,33.967,24.144,34.79,23.81,23.245,23.767,10.557,13.577,24.314,14.362,25.713,12.637,13.092,15.495,10.693,11.663,15.675,10.837,15.957,11.37,9.93,11.364,10.146,12.167,12.048,11.682,11.354,11.807,10.904,12.066,14.365,17.155,13.928,14.266,13.285,12.328,11.901,12.544,14.216,18.567,18.239,16.767,16.49,12.706,14.065,12.789,31.274,25.371,16.218,12.186,11.522,13.721,15.48,42.839,31.519,21.363,15.363,13.132,15.764,18.672,0,5
26.376,24.664,45.993,29.751,47.358,25.656,27.615,28.292,17.146,18.249,31.216,19.789,30.621,17.084,16.846,18.878,12.984,11.806,19.168,11.789,18.013,11.15,9.005,11.039,13.546,12.004,16.981,12.001,13.14,13.785,9.053,10.673,9.181,12.325,10.288,8.483,7.51,9.784,7.334,9.291,12.814,14.637,12.046,9.116,9.925,10.409,10.675,9.67,10.001,13.035,16.791,11.502,14.482,9.312,9.141,8.996,31.963,21.229,13.119,12.648,9.275,11.161,11.658,42.936,27.032,16.828,15.213,10.933,12.531,13.839,0,5
21.972,22.285,34.067,20.895,33.468,22.42,23.424,24.447,14.617,14.59,17.8,13.416,16.978,15.414,12.757,13.312,12.484,13.253,12.063,11.122,11.878,11.044,9.806,8.968,11.474,11.557,11.135,9.785,9.593,11.848,9.878,9.182,9.753,11.588,9.542,10.795,8.307,10.494,8.958,8.389,12.274,10.858,8.301,8.279,7.874,9.394,7.486,7.131,7.49,7.549,10.157,8.113,8.466,5.88,4.02,5.241,25.372,14.861,11.327,10.557,9.728,8.95,7.115,31.601,16.531,11.775,12.078,10.586,11.016,8.014,0,5
23.703,25.697,27.298,18.363,27.438,21.596,21.323,22.986,12.153,12.122,14.247,11.484,14.987,13.154,9.95,9.947,14.879,13.685,13.536,13.024,13.511,9.824,8.765,10.437,15.245,13.051,12.625,12.853,11.548,13.136,11.088,12.579,10.36,9.145,7.766,8.287,7.128,10.861,8.791,7.423,12.413,9.311,11.244,8.679,9.075,8.405,7.547,7.436,6.245,6.494,14.054,8.549,11.889,5.692,4.465,5.402,23.55,12.256,12.208,12.766,8.72,9.264,7.849,26.11,15.073,14.284,14.078,10.146,11.267,9.868,0,5
17.269,17.515,20.937,15.708,23.302,18.194,16.094,17.754,11.124,9.317,11.502,11.294,11.543,12.36,8.877,6.277,10.175,11.32,10.155,10.498,10.577,11.52,10.218,10.358,11.221,11.537,11.497,10.598,10.413,15.187,11.391,10.978,10.822,8.205,8.336,6.721,7.67,9.771,5.726,5.131,11.932,7.343,7.884,7.135,5.714,7.753,5.938,6.209,6.062,5.674,7.258,6.156,6.039,4.857,4.717,4.804,18.347,10.287,10.603,11.603,7.798,7.489,5.696,22.666,12.876,12.343,13.066,8.459,9.348,6.031,0,5
13.557,16.084,18.435,12.777,22.695,15.43,12.824,17.532,10.555,10.039,12.818,11.659,13.71,10.118,8.258,11.447,9.283,12.225,7.953,8.504,9.1,12.152,10.946,10.025,10.523,11.366,10.987,9.711,8.859,11.296,9.827,8.001,9.913,8.692,7.582,3.927,6.106,9.325,5.855,5.644,10.625,8.114,7.118,5.526,4.868,7.348,6.725,5.992,6.474,6.217,7.44,5.44,5.751,4.705,4.302,4.674,16.167,11.075,10.024,10.071,7.13,7.039,5.626,21.348,13.048,10.837,10.65,8.032,8.905,6.059,0,5
14.24,16.511,19.125,14.252,20.541,13.7,11.37,13.159,8.731,10.167,11.64,11.468,11.923,8.566,8.191,8.549,9.025,9.054,9.41,7.502,9.911,10.315,10.261,9.334,9.785,10.8,10.348,9.614,9.354,11.578,12.687,9.794,9.165,7.395,6.502,5.993,5.04,6.12,3.631,4.713,9.578,8.693,5.234,6.637,4.476,6.055,4.59,2.781,4.816,4.631,4.395,1.581,3.444,2.434,2.135,2.113,15.362,9.905,9.352,10.495,6.07,6.005,3.194,20.613,12.171,9.695,8.579,7.002,8.193,4.385,0,5
12.925,15.88,22.311,16.046,23.909,15.479,13.759,15.065,8.874,11.238,10.01,11.751,12.31,11.902,9.924,5.75,7.582,7.819,10.108,7.158,9.476,7.898,9.917,6.771,6.462,4.306,6.698,5.687,7.003,5.866,8.534,7.319,6.468,4.684,5.245,5.901,3.644,4.167,0.184,4.626,9.377,7.563,5.347,5.82,4.327,4.101,1.972,2.92,5.367,4.273,7.746,4.018,6.105,2.691,2.29,2.955,16.922,10.22,8.341,6.484,4.365,5.178,4.431,21.227,12.758,9.312,7.374,5.709,6.81,4.971,0,5
