0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,cue,activity
48.554,50.965,64.963,48.835,73.44,53.123,66.935,48.954,44.421,45.97,58.66,43.628,62.919,47.959,59.188,43.958,33.676,34.499,46.337,32.153,49.172,36.239,45.95,33.131,29.798,30.02,41.263,27.898,43.214,31.857,40.043,28.768,28.618,28.548,37.448,27.025,38.799,29.789,36.364,26.526,31.624,31.692,38.027,31.341,39.198,33.121,37.099,29.497,31.691,31.916,35.672,31.931,36.186,33.031,34.66,29.597,56.971,50.838,38.895,34.108,31.64,33.95,33.085,71.104,62.034,46.929,40.206,35.883,37.922,34.639,1,3
44.893,48.171,60.805,43.883,70.413,49.826,63.336,42.648,36.463,39.801,50.344,33.979,54.873,40.852,51.74,34.277,27.982,30.218,39.297,25.035,42.151,31.036,40.05,25.957,22.538,23.982,30.383,20.323,32.234,24.248,31.662,18.21,25.33,26.136,30.557,24.473,31.438,26.845,30.343,22.33,27.97,27.991,31.148,28.532,32.128,28.855,31.288,25.062,28.961,29.057,30.685,29.717,31.14,30.325,30.111,26.962,52.997,42.791,32.716,25.447,27.182,29.122,29.62,67.696,53.401,39.781,30.352,29.368,30.955,28.565,1,3
51.43,57.298,66.398,45.638,75.037,57.132,70.21,45.112,44.785,50.094,57.98,38.604,62.294,49.812,60.384,39.377,33.957,38.612,45.449,26.704,48.175,38.221,47.271,28.628,27.963,32.16,38.516,20.793,40.571,31.662,39.966,19.381,27.815,30.922,36.73,23.409,38.297,30.98,37.848,23.112,31.835,33.85,38.304,30.538,39.468,33.566,39.395,27.768,28.531,29.327,31.762,29.205,32.682,29.883,32.516,26.194,58.532,50.416,38.377,31.376,31.139,34.34,30.013,75.591,63.907,48.403,39.849,37.675,40.566,32.263,0,3
41.354,48.457,57.655,36.552,67.77,48.732,62.562,36.737,29.845,37.51,45.081,25.646,50.615,38.239,48.82,28.998,22.757,27.903,34.237,18.735,38.523,28.778,37.913,20.509,20.233,24.245,27.71,18.785,30.958,25.177,32.403,17.951,23.135,24.923,27.552,22.592,29.342,25.639,30.11,20.027,28.525,29.496,30.909,29.391,31.925,30.159,31.84,25.332,27.896,28.569,29.155,28.968,29.703,29.229,29.48,25.399,49.977,38.094,28.669,24.683,25.415,29.697,28.55,65.968,49.762,37.065,30.384,28.315,30.925,27.449,0,3
41.669,50.274,58.92,38.703,69.344,51.411,64.4,40.447,33.578,41.193,48.715,29.452,54.768,42.0,52.729,32.136,28.902,35.911,42.343,23.682,46.585,36.704,45.723,27.031,27.124,31.339,36.565,23.871,39.663,31.536,39.69,22.903,24.582,29.143,33.8,23.378,36.697,29.912,36.283,22.047,28.048,29.973,32.778,28.251,34.757,30.781,34.737,25.031,29.202,30.518,32.356,29.585,33.661,31.333,33.51,26.818,51.896,41.821,35.86,31.586,29.48,30.545,30.873,67.608,53.982,45.812,38.949,35.033,34.606,31.681,0,3
34.51,41.977,50.792,30.71,62.121,42.935,56.486,32.478,24.444,29.588,36.42,19.426,42.151,29.622,39.973,23.929,18.961,22.401,27.57,17.171,31.668,22.834,31.654,18.006,23.202,25.109,26.924,22.82,27.974,25.491,29.064,19.308,21.485,22.824,23.703,22.495,24.478,23.018,24.666,18.654,27.831,27.983,28.876,28.581,29.564,28.604,29.227,25.41,29.596,29.668,30.031,30.54,30.466,30.51,30.147,27.763,44.001,30.694,23.783,24.987,22.665,28.26,29.84,58.076,39.504,29.669,26.533,23.031,27.214,26.335,0,3
51.135,58.329,67.027,46.866,76.383,58.739,71.495,47.861,43.089,50.402,57.81,38.726,63.943,50.986,61.721,40.265,35.373,41.473,47.831,29.511,51.755,41.649,50.6,31.325,32.703,38.265,44.065,27.202,47.233,38.404,46.423,28.836,28.639,32.815,38.059,27.589,40.884,33.078,40.457,25.199,31.182,34.485,38.74,31.053,41.163,34.842,40.799,28.819,31.914,32.706,34.523,32.571,35.889,33.169,35.571,30.306,59.729,50.868,41.189,37.891,33.34,35.135,33.331,76.923,65.054,51.854,47.081,40.075,40.818,34.213,0,3
49.817,59.047,68.329,50.19,79.724,61.454,74.505,52.325,42.965,51.153,60.72,44.368,69.247,54.605,65.856,47.453,33.297,40.161,49.604,34.257,56.294,43.784,53.416,37.89,28.082,33.214,41.956,28.105,47.37,36.16,45.022,30.605,28.338,30.639,36.337,28.98,40.647,32.558,38.584,28.494,30.217,31.222,34.593,31.098,39.063,32.139,37.198,28.774,29.905,30.217,30.968,30.919,33.099,30.644,31.983,28.575,61.924,54.546,43.588,36.314,33.072,33.038,30.789,80.794,70.51,55.557,45.37,37.86,38.114,31.251,0,3
40.517,46.235,59.102,45.061,71.824,50.248,64.251,45.81,38.474,40.446,55.002,42.481,61.235,45.146,56.132,43.601,28.638,29.692,43.384,32.077,47.797,33.64,43.126,33.529,23.032,23.676,35.043,24.781,38.925,26.397,34.246,24.62,22.324,22.128,29.564,23.463,32.309,24.22,30.323,22.845,26.749,26.408,28.894,27.695,30.287,27.155,28.68,25.069,27.911,27.973,27.927,28.916,28.403,28.303,27.772,26.175,52.881,47.815,36.486,28.84,25.897,27.617,27.922,69.474,59.827,44.843,34.652,28.877,28.491,25.195,0,3
33.248,32.29,50.18,37.039,61.055,37.457,51.899,35.876,27.064,25.488,40.259,29.015,44.301,27.419,38.628,27.66,19.377,19.033,29.715,20.624,31.785,19.89,26.975,22.915,17.637,18.394,23.405,20.095,25.12,20.457,21.24,20.33,20.533,19.921,22.104,21.066,22.71,20.013,20.427,18.01,25.095,24.904,25.299,26.13,25.762,25.541,25.057,23.116,26.891,27.131,26.955,27.92,27.125,27.693,26.817,25.173,42.38,32.479,23.789,20.835,20.598,25.113,26.963,54.62,40.241,29.703,22.774,19.989,23.066,22.794,0,3
